Question,Answer,Class
Object-oriented or sequential?,"Write it sequentially and then refactor if there's something you think you can reuse or would make it clearer. Also, a SolvePotential class doesn't make a lot of sense since a class should be an Object with the method SolvePotential. ",c++
Get real image width and height with JavaScript in Safari/Chrome?,"this works for me (safari 3.2), by firing from within the window.onload event: $(window).load(function() {   var pic = $('img');   pic.removeAttr(""width"");    pic.removeAttr(""height"");   alert( pic.width() );   alert( pic.height() ); }); ",javascript
Get real image width and height with JavaScript in Safari/Chrome?,"this works for me (safari 3.2), by firing from within the window.onload event: $(window).load(function() {   var pic = $('img');   pic.removeAttr(""width"");    pic.removeAttr(""height"");   alert( pic.width() );   alert( pic.height() ); }); ",jquery
Does anyone know where there is a recipe for serializing data and preserving its order in the output?,"Python does not retain order in dictionaries. However, there is the OrderedDict class in the collections module. Another option would be to use a list of tuples: [('reportDate', u'R20080501'), ('idnum', u'1078099'), ...etc] You can use the built in dict() if you need to convert this to a dictionary later. ",python
Is there an easy way to determine the type of a file without knowing the file's extension?,"This is not a complete answer, but a place to start would be a ""magic numbers"" library. This examines the first few bytes of a file to determine a ""magic number"", which is compared against a known list of them.  This is (at least part) of how the file command on Linux systems works. ",c#
How do I divide an ordered list of integers into evenly sized sublists?,"Here is my own recursive solution, inspired by merge sort and breadth first tree traversal: private static void splitOrderedDurationsIntoIntervals(Integer[] durations, List&lt;Integer[]&gt; intervals, int numberOfInterals) {     int middle = durations.length / 2;     Integer[] lowerHalf = Arrays.copyOfRange(durations, 0, middle);     Integer[] upperHalf = Arrays.copyOfRange(durations, middle, durations.length);     if (lowerHalf.length &gt; upperHalf.length) {         intervals.add(lowerHalf);         intervals.add(upperHalf);     } else {         intervals.add(upperHalf);         intervals.add(lowerHalf);     }     if (intervals.size() &lt; numberOfIntervals) {         int largestElementLength = intervals.get(0).length;         if (largestElementLength &gt; 1) {             Integer[] duration = intervals.remove(0);             splitOrderedDurationsIntoIntervals(duration,  intervals);         }     } } I was hoping someone might have a suggestion for an iterative solution. ",java
Which is better apply two conditions in nested If or using single with And?,"Are you going to do something different in the 'nested if' example if, in fact, txtPackage.Text isn't empty but contains something other than ""abc""? If you aren't, I'd ask why are you checking for string.empty at all?   You could just write: if (txtPackage.Text == ""abc"") { // } and be done with it. Totally depends upon what you want to do in the end. ",c#
How do I generate a compiled lambda with method calls?,"You need to wrap the object in an ExpressionConstant, e.g. by using Expression.Constant. Here's an example: class MyConverter {     public string MyToString(int x)     {         return x.ToString();     } } static void Main() {     MyConverter c = new MyConverter();     ParameterExpression p = Expression.Parameter(typeof(int), ""p"");     LambdaExpression intToStr = Expression.Lambda(         Expression.Call(             Expression.Constant(c),             c.GetType().GetMethod(""MyToString""),             p),         p);     Func&lt;int,string&gt; f = (Func&lt;int,string&gt;) intToStr.Compile();     Console.WriteLine(f(42));     Console.ReadLine(); } ",c#
How to automatically create a file with the latest compile time and include it into a library?,Let the object file containing the build timestamp depend on all the other object files: version.o: $(OBJECTS) ,c++
How do I test database-related code with NUnit?,"I would call these integration tests, but no matter.  What I have done for such tests is have my setup methods in the test class clear all the tables of interest before each test.  I generally hand write the SQL to do this so that I'm not using the classes under test. Generally, I rely on an ORM for my datalayer and thus I don't write unit tests for much there.  I don't feel a need to unit test code that I don't write.  For code that I add in the layer, I generally use dependency injection to abstract out the actual connection to the database so that when I test my code, it doesn't touch the actual database.  Do this in conjunction with a mocking framework for best results. ",c#
How can I convert a hex string to a byte array?,"Here's a nice fun LINQ example. public static byte[] StringToByteArray(string hex) {     return Enumerable.Range(0, hex.Length)                      .Where(x =&gt; x % 2 == 0)                      .Select(x =&gt; Convert.ToByte(hex.Substring(x, 2), 16))                      .ToArray(); } ",c#
How do I set a field value in an C# Expression tree?,".Net 4.0 : now that there's Expression.Assign, this is easy to do: FieldInfo field = typeof(T).GetField(""fieldName""); ParameterExpression targetExp = Expression.Parameter(typeof(T), ""target""); ParameterExpression valueExp = Expression.Parameter(typeof(string), ""value""); // Expression.Property can be used here as well MemberExpression fieldExp = Expression.Field(targetExp, field); BinaryExpression assignExp = Expression.Assign(fieldExp, valueExp); var setter = Expression.Lambda&lt;Action&lt;T, string&gt;&gt;     (assignExp, targetExp, valueExp).Compile(); setter(subject, ""new value""); .Net 3.5 : you can't,  you'll have to use System.Reflection.Emit instead: class Program {     class MyObject     {         public int MyField;     }     static Action&lt;T,TValue&gt; MakeSetter&lt;T,TValue&gt;(FieldInfo field)     {         DynamicMethod m = new DynamicMethod(             ""setter"", typeof(void), new Type[] { typeof(T), typeof(TValue) }, typeof(Program));         ILGenerator cg = m.GetILGenerator();         // arg0.&lt;field&gt; = arg1         cg.Emit(OpCodes.Ldarg_0);         cg.Emit(OpCodes.Ldarg_1);         cg.Emit(OpCodes.Stfld, field);         cg.Emit(OpCodes.Ret);         return (Action&lt;T,TValue&gt;) m.CreateDelegate(typeof(Action&lt;T,TValue&gt;));     }     static void Main()     {         FieldInfo f = typeof(MyObject).GetField(""MyField"");         Action&lt;MyObject,int&gt; setter = MakeSetter&lt;MyObject,int&gt;(f);         var obj = new MyObject();         obj.MyField = 10;         setter(obj, 42);         Console.WriteLine(obj.MyField);         Console.ReadLine();     } } ",c#
Does Java work with PCF fonts?,"I've spent all morning learning about Java fonts.  There's a lot of limitations, some of which are removed in Java 1.6.  I don't have any answers, but here is some information I have that might be helpful. Java distinguishes internally between system fonts and created fonts.  (News flash to Sun: it'd be nice to make that clear through subclassing!)  The system fonts seem to be fonts installed in the JRE possibly plus some of the fonts installed on your system.  But apparently not all of the fonts installed on your system; I, too, have adobe-helvetica on my Linux system but it doesn't seem to be accessible from Java under any name I can think of. Meanwhile, you can create fonts from a font file with the Font.createFont() method.  You have to specify the font file type.  The only constants I found to specify these types in the Font class are TRUETYPE_FONT and TYPE1_FONT.  So it looks like if PCF fonts are available, it isn't made explicit through providing a constant to specify them.  Maybe somebody else knows more.  I did see some information online about using bitmap fonts in Java ME, so it must somehow be possible to use other types of fonts. Once you have a created font, you can add it to the JVM's concept of available fonts with the GraphicsEnvironment.registerFont() call, but that is only available on Java 1.6 and later. ",java
Which Tomcat 5 context file takes precedence?,"I haven't found any official documentation, but I have observed the load order to be: 1 tomcat_home/conf/context.xml 2 tomcat_home/webapps/myapp/META-INF/context.xml Where #2 is the last one applied (so its settings override all previous ones, where applicable). I have never used the webapp named context files (your option #2). ",java
"How do I examine the contents of an std::vector in gdb, using the icc compiler?","The std::vector template guarantees the data is stored contiguously.  If you take the address of the front element (say, &amp;v[0], for instance), you can access any other element in the vector through a C-style array.  That doesn't require you to have the source code of the STL available to your debugger. After messing with this some, it appears that v.front() and v.begin() are likely inlined and GDB isn't finding them.  I'll keep looking, but personally I would simply add the line int* i = &amp;v[0] to the source file, and then use GDB commands on i while debugging.  Note that the compiler is free to remove that dead code.  You may need to output the value of i to avoid that, or simply not crank up optimizations. ",c++
How do I convert a Char into a Keycode in .Net?,Raymond says this is a bad idea. http://blogs.msdn.com/oldnewthing/archive/2005/05/30/423202.aspx ,c#
variable not being passed?,I don't think this does what you expect: $pk = $row[0]['ARTICLE_NO']; Try with: $pk = $row['ARTICLE_NO']; ,php
variable not being passed?,I don't think this does what you expect: $pk = $row[0]['ARTICLE_NO']; Try with: $pk = $row['ARTICLE_NO']; ,javascript
How to access previous/next element while for looping?,"Iterators only have the next() method so you cannot look forwards or backwards, you can only get the next item. enumerate(iterable) can be useful if you are iterating a list or tuple. ",python
How do I determine if an email is Base64 encoded?,Try: enc = msg['Content-Transfer-Encoding'] It's a header so you won't be able to get it looking at the body.  You should be able to get at the same place you find out the Subject. ,python
What is the Constant Value of the Underline font in Java?,"Underlining is not a property of the font but of the text segment.  When rendered the text is rendered in the font specified then a line is drawn under it. Depending on what framework you are using, this may be done for you using properties or you may have to do it yourself. ",java
How do I create a Java string from the contents of a file?,"Commons FileUtils.readFileToString: public static String readFileToString(File file)                        throws IOException      Reads the contents of a file into a String using the default encoding   for the VM. The file is always closed.      Parameters:         file - the file to read, must not be null         Returns:   the file contents, never null      Throws:    - IOException - in case of an I/O error      Since:   Commons IO 1.3.1 The code used (indirectly) by that class is: IOUtils.java under Apache Licence 2.0. public static long copyLarge(InputStream input, OutputStream output)        throws IOException {    byte[] buffer = new byte[DEFAULT_BUFFER_SIZE];    long count = 0;    int n = 0;    while (-1 != (n = input.read(buffer))) {        output.write(buffer, 0, n);        count += n;    }    return count; } It is very similar to the one used by Ritche_W. ",java
How can I dynamically get the set of classes from the current python module?,"import sys getattr(sys.modules[__name__], 'A') ",python
Dynamic logical expression parsing/evaluation in PHP?,"Check create_function, it creates an anonymous function from the string parameters passed, I'm not sure about its performance, but it's very flexible... ",php
How can I make some items in a ListBox bold?,"You need to change listbox's DrawMode to DrawMode.OwnerDrawFixed. Check out these articles on msdn: DrawMode Enumeration ListBox.DrawItem Event Graphics.DrawString Method Also look at this question on msdn forums: Question on ListBox items A simple example (both items - Black-Arial-10-Bold):  public partial class Form1 : Form  {     public Form1()     {         InitializeComponent();         ListBox1.Items.AddRange(new Object[] { ""First Item"", ""Second Item""});         ListBox1.DrawMode = DrawMode.OwnerDrawFixed;     }     private void ListBox1_DrawItem(object sender, DrawItemEventArgs e)     {         e.DrawBackground();         e.Graphics.DrawString(ListBox1.Items[e.Index].ToString(), new Font(""Arial"", 10, FontStyle.Bold), Brushes.Black, e.Bounds);         e.DrawFocusRectangle();     }  } ",c#
Monitoring a displays state in python?,"It seems that, when Windows wants to start the screen saver or turn the monitor off, it will send a WM_SYSCOMMAND to the topmost window with a wParam of SC_SCREENSAVE (to start the screen saver) or a wParam of SC_MONITORPOWER and a lParam of 1 or 2 (to turn the monitor off). This message will then be passed to DefWindowProc, which will actually do the action. So, if your window happens to be the topmost one, you can intercept these events and ignore them (or do anything else you want before passing them to DefWindowProc). On Windows Vista, there seems to be a more intuitive, and more reliable, way to know the monitor power state. You call RegisterPowerSettingNotification to tell the system to send your window a WM_POWERBROADCAST message with a wParam of PBT_POWERSETTINGCHANGE and a lParam pointing to a POWERBROADCAST_SETTING structure. I cannot test either of them since I currently do not have any computer with Windows nearby. I hope, however, they point you in the right direction. References: The Old New Thing : Fumbling around in the dark and stumbling across the wrong solution Recursive hook ... - borland.public.delphi.nativeapi.win32 | Google Groups Registering for Power Events (Windows) ",python
How do you do a SQL style 'IN' statement in LINQ to Entities (Entity Framework) if Contains isn't supported?,"You need to either use this one: .Where(string.Format(""it.ID in {0}"", string.Join("","", valueIds.ToArray()))); or construct the WHERE part dynamically, as in this post.   P.S. - Information has been updated and this answer updated as follows to maintain relevance: The link referenced contains the following update:   ...in EF4 we added support for the    Contains method and at least in this    specific case for collection-valued    parameters. Therefore this kind of    code now works right out of the box    and it is not necesary to use any    additinal expression building method:  var statusesToFind = new List&lt;int&gt; {1, 2, 3, 4}; var foos = from foo in myEntities.Foos            where statusesToFind.Contains(foo.Status)            select foo; ",c#
Can you enable [Authorize] for controller but disable it for a single action?,"I don't think you can do this with the standard Authorize attribute, but you could derive your own attribute from AuthorizeAttribute that takes a list of actions to allow and allows access to just those actions.  You can look at the source for the AuthorizeAttribute at www.codeplex.com for ideas on how to do this.  If you did, it might look like: [AdminAuthorize (Roles = ""Administrator"", Exempt = ""Login, Logout"") ] public class AdminController : Controller {     public ActionResult Login()     {         return View();     }     public ActionResult Login()     {         return View();     }     ... other, restricted actions ... } EDIT:  FYI, I eventually ran across a need to do something similar on my own and I went a different direction.  I created a default authorization filter provider and apply a global authorize filter.  The authorization filter provider uses reflection to check if an action or controller has a specific authorize attribute applied and, if so, defers to it.  Otherwise, it applies a default authorization filter.  This is coupled with a PublicAttribute derived from AuthorizeAttribute that allows public access.  Now, I get default secured access, but can grant public access via [Public] applied to an action or controller.  More specific authorization can also be applied as necessary.  See my blog at http://farm-fresh-code.blogspot.com/2011/04/default-authorization-filter-provider.html ",c#
Can Silverlight 2.0 pages be removed from a collection manually (garbage collected)?,"When you have your XAML pages displayed, are you registering for keyboard events? If so, are you forgetting to unregister from keyboard events when you remove those pages from the screen? Since there is no ""Unloading""-like event on either the UserControl or Page class in Silverlight (at least that I know of), what I do is have my pages implement a interface I define that contains a single method like ""Cleanup"" or ""Close"". Before I remove the control from the screen, I call Cleanup() on the control and have it do things like unregister from events it may have registered. If you don't unregister from events the page's object will never be garbage collected because the CLR thinks the object is still live. ",c#
How to resolve this VC++ 6.0 linker error?,"You can use ""Dependency Walker"" - a free tool to find the dependencies of your application, to figure out how your application is linking to libcmtd. Edit: You can't, of course, use that on the new version which fails to link (see comments), but you can use it on the old version, or on known libraries that the new version links with. However, as the real problem was unrelated to anything I suggested, perhaps the question should be closed. It looks like you are linking to different versions of the CRT - possibly because you are using old built libraries together with a new compiler and version of the CRT. ",c++
Why is itemStateChanged on JComboBox is called twice when changed?,"Have a look at this source: import javax.swing.*; import java.awt.*; import java.awt.event.*; public class Tester {     public Tester(){         JComboBox box = new JComboBox();         box.addItem(""One"");         box.addItem(""Two"");         box.addItem(""Three"");         box.addItem(""Four"");         box.addItemListener(new ItemListener(){             public void itemStateChanged(ItemEvent e){                 System.out.println(e.getItem() + "" "" + e.getStateChange() );             }         });         JFrame frame = new JFrame();         frame.getContentPane().add(box);         frame.pack();         frame.setVisible(true);     }     public static void main(String [] args) {         Tester tester = new Tester();     } } Use the getStateChange to determine if an item is selected or deselected ",java
How do I add HTML links in C# TextBox?,"To my knowledge not with the standard textbox.  You'd have to create your own.  One option it the Telerik controls, they're a little pricey for individual development, but very robust and configurable. ",c#
How do I add HTML links in C# TextBox?,"To my knowledge not with the standard textbox.  You'd have to create your own.  One option it the Telerik controls, they're a little pricey for individual development, but very robust and configurable. ",html
"How to fix ""Referenced assembly does not have a strong name"" error?","To avoid this error you could either: Load the assembly dynamically, or Sign the third-party assembly.  You will find instructions on signing third-party assemblies in .NET-fu: Signing an Unsigned Assembly (Without Delay Signing).  Signing Third-Party Assemblies The basic principle to sign a thirp-party is to  Disassemble the assembly using ildasm.exe and save the intermediate language (IL): ildasm /all /out=thirdPartyLib.il thirdPartyLib.dll  Rebuild and sign the assembly: ilasm /dll /key=myKey.snk thirdPartyLib.il Fixing Additional References The above steps work fine unless your third-party assembly (A.dll) references another library (B.dll) which also has to be signed. You can disassemble, rebuild and sign both A.dll and B.dll using the commands above, but at runtime, loading of B.dll will fail because A.dll was originally built with a reference to the unsigned version of B.dll.  The fix to this issue is to patch the IL file generated in step 1 above. You will need to add the public key token of B.dll to the reference. You get this token by calling  sn -Tp B.dll  which will give you the following output: Microsoft (R) .NET Framework Strong Name Utility  Version 4.0.30319.33440 Copyright (c) Microsoft Corporation.  All rights reserved. Public key (hash algorithm: sha1): 002400000480000094000000060200000024000052534131000400000100010093d86f6656eed3 b62780466e6ba30fd15d69a3918e4bbd75d3e9ca8baa5641955c86251ce1e5a83857c7f49288eb 4a0093b20aa9c7faae5184770108d9515905ddd82222514921fa81fff2ea565ae0e98cf66d3758 cb8b22c8efd729821518a76427b7ca1c979caa2d78404da3d44592badc194d05bfdd29b9b8120c 78effe92 Public key token is a8a7ed7203d87bc9 The last line contains the public key token. You then have to search the IL of A.dll for the reference to B.dll and add the token as follows: .assembly extern /*23000003*/ Eurolook.Common {   .publickeytoken = (A8 A7 ED 72 03 D8 7B C9 )                            .ver 10:0:0:0 } ",c#
"When should static_cast, dynamic_cast, const_cast and reinterpret_cast be used?","Does this answer your question? I have never used reinterpret_cast, and wonder whether running into a case that needs it isn't a smell of bad design. In the code base I work on dynamic_cast is used a lot. The difference with  static_cast is that a dynamic_cast does runtime checking which may (safer) or may not (more overhead) be what you want (see msdn). ",c++
How do you organize C# code in to files?,"Currently I do: One assembly for production code + unit tests directory structure mimics namespaces one type per file nested types get their own file, using partial types.  That is: // ------ C.cs public partial class C : IFoo {     // ... } // ------ C.Nested.cs partial class C {     public class Nested     {         // ...     } } ",c#
Is it possible to Serialize a LINQ object?,"Linq classes are partial classes.  You can change the definition to mark the classes as implementing ISerializable and then provide the code... public partial class User : ISerializable {   // implement GetObjectData here } There might still be issues with deserialization, however (I'm not 100% on this).  An alternative is to use xml serialization and implement IXmlSerializable, which has methods for serializing and deserializing, allowing you to control the entire process... ",c#
Parallelization: What causes Java threads to block other than synchronization & I/O?,"All graphics operations run on a single thread in swing. If they are rendering to the screen they will effectively be contending for access to this thread. If you are running on Windows, all graphics operations run on a single thread no matter what. Other operating systems have similar limitations. It's actually fairly difficult to get the proper granularity of threaded workers sometimes, and sometimes it's easy to make them too big or too small, which will typically give you  less than 100% usage of all cores. If you're not rendering much gui, the most likely culprit is that you're contending more than you think for some shared resource. This is easily seen with profiler tools like jprofiler. Some VM's like bea's jrockit can even tell you this straight out of the box. This is one of those places where you dont want to act on guesswork. Get a profiler! ",java
How to design a simple C++ object factory?,"You could implement an object factory with static methods that return an instance of a Manager-Class. In the factory you could create a method for the default type of manager and a method for any type of manager which you give an argument representing the type of the Manager-Class (say with an enum). This last method should return an Interface rather than a Class. Edit: I'll try to give some code, but mind that my C++ times are quite a while back and I'm doing only Java and some scripting for the time being. class Manager { // aka Interface     public: virtual void someMethod() = 0; }; class Manager1 : public Manager {     void someMethod() { return null; } }; class Manager2 : public Manager {     void someMethod() { return null; } }; enum ManagerTypes {     Manager1, Manager2 }; class ManagerFactory {     public static Manager* createManager(ManagerTypes type) {         Manager* result = null;         switch (type) {         case Manager1:              result = new Manager1();              break;         case Manager2:              result = new Manager2();              break;         default:              // Do whatever error logging you want              break;         }         return result;      }  }; Now you should be able to call the Factory via (if you've been able to make the code sample work): Manager* manager = ManagerFactory.createManager(ManagerTypes.Manager1); ",c++
Any easy REST tutorials for Java?,"It sounds like you could use a solid understanding of the fundamentals of REST, and for that I highly recommend RESTful Web Services by Leonard Richardson and Sam Ruby. I provides a great introduction to REST: what it is and how to implement a (practical) RESTful web service. Most of the example code in the book is actually Ruby, but it's easy enough to understand even if you're not a Ruby expert. But one thing that should help you specifically is that one of the later chapters of the book contains overviews of several RESTful frameworks, including Restlet. It doesn't really get into any code (it's a 50,000-foot flyover) but I think it'll give you just what you need at this stage. ",java
"Using an anchor as a javascript action, what should the link be?","Checkout the discussion over at Href for Javascript links: â#â or âjavascript:void(0)â?.  Also, leaving href blank causes the browser to not use the pointer cursor when the user mouses over, though you can fix that with CSS. ",javascript
"Using an anchor as a javascript action, what should the link be?","Checkout the discussion over at Href for Javascript links: â#â or âjavascript:void(0)â?.  Also, leaving href blank causes the browser to not use the pointer cursor when the user mouses over, though you can fix that with CSS. ",html
Which JavaScript library you recommend to use with Java EE + Struts + iBatis?,"There exists a framework that is supposed to tie in nicely with Java Server/Middleware called JSON-RPC However I have never used it and cannot vouch for it.. Aside from that my favourite framework is cough jQuery edit after reading more closely, the JSON-RPC is not quite what you are looking for.. but it still might be useful for ya to look into ;) ",java
Which JavaScript library you recommend to use with Java EE + Struts + iBatis?,"There exists a framework that is supposed to tie in nicely with Java Server/Middleware called JSON-RPC However I have never used it and cannot vouch for it.. Aside from that my favourite framework is cough jQuery edit after reading more closely, the JSON-RPC is not quite what you are looking for.. but it still might be useful for ya to look into ;) ",javascript
Are goto and destructors compatible?,"Yes, destructors will be called as expected, the same as if you exited the scope early due to an exception. Standard 6.6/2 (Jump statements):   On exit from scope (however accomplished), destructors are called for all constructed objects with automatic storage duration that are declared in that scope, in the reverse order of their declaration. ",c++
C# How to replace Microsoft's Smart Quotes with straight quotation marks?,"According to the Character Map application that comes with Windows, the Unicode values for the curly quotes are 0x201c and 0x201d. Replace those values with the straight quote 0x0022, and you should be good to go. String.Replace(0x201c, '""'); String.Replace(0x201d, '""'); ",c#
In C# what is the recommended way of passing data between 2 threads?,"In effect, you have created a poor man's version of a ThreadPool. Your second thread is just sitting there doing nothing and without a fair amount of work on your part, you can't just get it to do work for you. You would have to pass delegates into a queue that your thread then takes off and executes. Your best bet is to do what you intended and just use the .NET ThreadPool and give it work to do. ",c#
LINQ with FoxPro?,"Linq2Sql only supports Sql Server, Entity framework supports a bunch, but foxpro is not one of them. NHibernate has a Linq provider that just went 1.0, and with a bit of jiggering you can get it working with Foxpro. IMO NHibernate.Linq is your best bet, but it all depends on how you define ""reasonable"" ;-) ",c#
How to redirect to (or enforce) SSL connection?,"It's easy to do at the web server level. In Apache, you'd do it like this: RewriteEngine On RewriteRule (.*) https://%{HTTP_HOST}%{REQUEST_URI} ",php
How can I enforce a maximum amount of forked children?,man 2 setrlimit That's going to be per-user which may be what you want anyway. ,php
Why is Visual Studio's table adapter query not returning the same data as the stored procedure it represents?,Dates need to have quotes around them in SQL else they don't work.   ,c#
Is it worth it to code different functionality for users with javascript disabled?,"Degrade gracefully - make sure the site works without JavaScript, then add bells and whistles for those with JavaScript enabled. ",javascript
TimedRotatingFileHandler Changing File Name?,"""How can i change how it alters the filename?"" Since it isn't documented, I elected to read the source.  This is what I concluded from reading the source of logging/handlers.py handler = logging.handlers.TimedRotatingFileHandler(""C:\\isis_ops\\logs\\Rotate_Test"",'midnight',1) handler.suffix = ""%Y-%m-%d"" # or anything else that strftime will allow root_logger.addHandler(handler) The suffix is the formatting string. ",python
What is special about HashSet<T> in .NET 3.5?,Check what version of System.Core.dll Snippet Compiler is using. ,c#
How do I find the type of the object instance of the caller of the current function?,"   Is there anyone who can show me how to implement a zero argument CreateLog() that gets the name from the subclass and not the declaring class? I don't think you'll be able to do it by looking at the stack frame.  While your class is IMReceiver, the call to CreateLog method is in the MessageReceiver class. The stack frame must tell you where the method is being called from, or it wouldn't be any use, so it's always going to say MessageReceiver If you called CreateLog explicitly in your IMReceiver and other classes, then it works, as the stack frame shows the method being called in the derived class (because it actually is). Here's the best thing I can come up with: class BaseClass{   public Log log = Utils.CreateLog(); } class DerivedClass : BaseClass {   public DerivedClass() {     log = Utils.CreateLog();   } } If we trace creation of logs, we get this: new BaseClass(); # Log created for BaseClass new DerivedClass(); # Log created for BaseClass # Log created for DerivedClass The second 'log created for derived class' overwrites the instance variable, so your code will behave correctly, you'll just be creating a BaseClass log which immediately gets thrown away. This seems hacky and bad to me, I'd just go with specifying the type parameter in the constructor or using a generic.  IMHO specifying the type is cleaner than poking around in the stack frame anyway If you can get it without looking at the stack frame, your options expand considerably ",c#
How to Create a Listener for WCF ServiceHost events when service is hosted under IIS?,"The whole point of WCF services and IIS hosting is to achieve scalability and allow easy hosting. Although you could connect to events exposed by the ServiceHostBase class (see here), I would recommend against it and analyzing if you really need those shared resources. The main reasons for asking you to re-think are: shared resources need to be thread safe (IIS can serve many requests simultaneously), so this creates a bottleneck for the scalability of your application and secondly, it's best if your services are stateless, and this includes (I guess) the usage of share resources (or application wide resources). ",c#
How Can I Create Rounded Rectangle Buttons in WM6?,"Getting pretty buttons like that is typically done by doing a complete owner-drawn button and drawing an image that a graphic designer created to it rather than letting GDI do any of the control painting.  You simply need an image for ""up"" and an image for ""pressed"".  You can manually draw in the focus or use yet another image with a ROP mask to draw it on the button as well. To get the nice ""rounded"" effects, you simply create the image with a background color that you then use as a transparency color. Tee scaling issue is somewhat unique to WinMo, since iPhone really has only one resolution.  If you need to target different resolution WinMo devices you can do one of 2 things (which you use depends on the images you're using).  Eitehr just draw the image scaled, or include different size versions of the images and decide at runtime which to use based on screen resolution. ",c++
How do I load arbitrary data from a url PHP?,"With file wrappers you can use file_get_contents to access http resources (pretty much just GET requests, no POST).  For more complicated http requests you can use the curl wrappers if you have them installed.  Check php.net for more info. ",php
Does Javascript fire an event for unhandled/uncaught exceptions?,"Try using an onerror handler.  Docs from MDN.  This will allow you to do something when an error is detected, but probably won't let you continue in a graceful way that a try/catch block would. Be aware that are undoubtedly differences between browsers in how this is handled. ",javascript
C# console applications all 16bit?,"Any .NET app that is compiled for x86 will be 32-bit C# console apps aren't running in ""real"" dos - they run in a 32-bit or 64-bit environment - depending on your OS and .NET framework. ",c#
ASP.NET DropDownList AutoPostback Not Working - What Am I Missing?,Does it work when you take out the UpdatePanel? ,c#
How to use libapt (or libept) in debian-like system to list packages and get their infos?,Take a look at how apt-cache(8) is implemented. Obtaining the source with apt is easy: # apt-get source apt In the source file cmdline/apt-cache.cc theres is a function called DumpPackage() which extracts information from a named file in the cache. ,c++
"On Windows, when should you use the ""\\\\?\\"" filename prefix?","I've been writing Windows code since 1995, and although I'm aware of that prefix, I've never found any reason to use it. Increasing the path length beyond MAX_PATH seems to be the only reason for it, and neither I nor any of my programs' customers have ever done so, to my knowledge. ",c++
How can I determine the element type of a matched element in jQuery?,"First time I've answered my own question. After a little more experimentation: $(""[id$="" + endOfIdToMatch + ""]"").each(function () {    alert($(this).attr(tagName)); }); works! ",javascript
How can I determine the element type of a matched element in jQuery?,"First time I've answered my own question. After a little more experimentation: $(""[id$="" + endOfIdToMatch + ""]"").each(function () {    alert($(this).attr(tagName)); }); works! ",jquery
How can I determine the element type of a matched element in jQuery?,"First time I've answered my own question. After a little more experimentation: $(""[id$="" + endOfIdToMatch + ""]"").each(function () {    alert($(this).attr(tagName)); }); works! ",html
What happened to the python bindings for CGAL?,The fastest would probably be just to look at the code and re-implement it yourself in python. carrying around all of CGAL just for this tiny bit seems redundant. Also this calculation doesn't strike me as something that would extremely benefit by running compiled. ,python
How do I convert an audio stream to MP3 using Java?,"May be you could use LAMEOnJ, which is a 100% Java API wrapping the standard LAME API (LAME being a MP3 encoder). I am not sure however it would encode ""chunk by chunk""... ",java
How to determine total size of ASP.Net cache?,Have not tried it. But maybe you can use Cache Manager plug-in for ASP.NET. Or use it as example. ,c#
Why is January month 0 in Java Calendar?,"I'd say laziness. Arrays start at 0 (everyone knows that); the months of the year are an array, which leads me to believe that some engineer at Sun just didn't bother to put this one little nicety into the Java code. ",java
Can I extract a file from a jar that is 3 directories deep?,"The full path of the entry within the JAR should work: JarEntry zipFile = jarFile.getJarEntry(""com/something/messaging/client.ts""); ",java
How to disable a select box not inside a form?,"Short answer: No, you don't need to have the select box within a form.  Where is your JavaScript currently included with respect to the body tag in your HTML? Remember that if you have inline JavaScript included in the head if your page, then it will fire as the page is loaded. At this point, the select box will not have been parsed and, thus, your code cannot access it in order to disable it. I'm no fan of mixing JavaScript and markup together, but this demo should work for all intents and purposes. &lt;html&gt;  &lt;head&gt;   &lt;title&gt;JavaScript Select Demo&lt;/title&gt;  &lt;/head&gt;  &lt;body&gt;     &lt;select id=""mySelect"" onchange=""updateChoice();""&gt;     	&lt;option value=""1""&gt;First&lt;/option&gt;     	&lt;option value=""2"" selected=""""&gt;Second&lt;/option&gt;     &lt;/select&gt;  &lt;/body&gt;  &lt;script type=""text/javascript""&gt;      document.getElementById('mySelect').disabled = true;  &lt;/script&gt; &lt;/html&gt; If, for whatever reason, you have to keep the script located in the page rather than an external file, you could setup an event handler to perform the same functionality after the page has loaded. Rather than keeping code at the bottom of the markup, you can include this in your head node:  &lt;head&gt;   &lt;title&gt;JavaScript Select Demo&lt;/title&gt;   &lt;script type=""text/javascript""&gt;     window.onload = function() {         document.getElementById('mySelect').disabled = true; ;     }  &lt;/script&gt;  &lt;/head&gt; Lastly, rather than incorporate an onchange handler in the attributes of your markup, you could alternatively setup an event handler in your JavaScript to perform the same behavior. jQuery makes this really easy. ",javascript
How do I connect to a IBM 3770 Remote Job Entry system for Customs Border Patrol 10+2 Security Filing from Java?,I thought that CBP had done away with 3770 dial-up altogether.  It is my understanding that everything switched to IBM MQ.  We use MQ to connect to CBP in our business.  Its far simpler and reliable.  You can talk to it via JMS also. ,java
What are unit tests and why should I care?,Most of the php I've seen is almost impossible to do unit testing on.  Wikipedia has an article on unit testing if you are interested.  ,php
What are unit tests and why should I care?,Most of the php I've seen is almost impossible to do unit testing on.  Wikipedia has an article on unit testing if you are interested.  ,javascript
